Feature,GradientBoosting_Importance,GradientBoosting_SHAP
senkou_span_a,0.027354909748038666,0.00041743731718226645
donchian_high_20,0.059839686966794384,0.00032185564663800314
atr_pct,0.09408420599403079,0.00012169015199948523
atr_ratio,0.09512224990639287,0.00010046886432473101
historical_volatility_30,0.05740605382481632,5.5976139549961295e-05
rsi,0.03766788053183133,4.4830251280250435e-05
obv_ma20,0.010086614279220175,3.5393525215167864e-05
macd_signal,0.21537858615365255,2.8042793629378107e-05
sma100,0.04174576655662695,2.6392238934751495e-05
adx,0.1789155140440373,2.1181769735885067e-05
dist_from_high_20,0.022470288528027637,2.0415846104004785e-05
roc_10,0.03747964069877052,1.111884895776798e-05
di_minus,0.007211311101682535,8.543091878245606e-06
obv_ratio,0.047460273606246266,7.01450375125613e-06
stoch_diff,0.02746857202810498,4.715830295211651e-06
di_plus,0.031511786710172615,2.1820157393569563e-06
volume_ratio_50,0.007084135717649392,9.720368229582491e-07
volume_ma20,0.0017125236039047945,5.847761468534627e-07
atr_ma100,0.0,0.0
donchian_width,0.0,0.0
bb_width,0.0,0.0
supertrend,0.0,0.0
volume_change_3,0.0,0.0
volume_ma50,0.0,0.0
mfi,0.0,0.0
