Feature,LightGBM_Importance,LightGBM_SHAP
donchian_high_20,163,0.0011012985770868212
senkou_span_a,137,0.0010427160943919348
obv_ma20,212,0.0009529296201186825
historical_volatility_30,227,0.0008622359658602613
sma100,185,0.0008440956792948968
atr_ratio,219,0.000827702487276658
macd_signal,233,0.0007891977088469476
supertrend,188,0.0007634925857757073
volume_ma20,240,0.0007130006841801634
di_plus,169,0.000689742005712897
atr_pct,155,0.000633575115349203
dist_from_high_20,188,0.0006231993120273688
atr_ma100,243,0.0005979976514103374
rsi,132,0.0005368831229388761
stoch_diff,210,0.0005188538529328
obv_ratio,220,0.00041753747821528237
volume_ma50,217,0.0004139082183817563
roc_10,178,0.0003930142703241166
adx,245,0.0003715085647755181
donchian_width,153,0.00035615562661124936
di_minus,161,0.00034497745610334026
bb_width,154,0.00032487376623332163
volume_change_3,170,0.00031587671389560857
mfi,180,0.00027379054463362904
volume_ratio_50,178,0.00022305408921005987
