Feature,RandomForest_Importance,RandomForest_SHAP
atr_ratio,0.11939866738320132,0.00026652282898863056
senkou_span_a,0.023638093050653012,0.0002462776092859423
atr_pct,0.1013723829018396,0.00021049505116810442
historical_volatility_30,0.05092466107478023,0.0001317681308346435
donchian_high_20,0.02410880109621516,0.00012614408977671036
roc_10,0.08257295263852962,8.100975715951611e-05
obv_ma20,0.019706368930565755,7.8265842738374e-05
dist_from_high_20,0.03711061788518185,6.157183295132186e-05
macd_signal,0.15275415328727857,5.5086237629169055e-05
adx,0.06000762794993983,4.763348362173622e-05
supertrend,0.04379674522398178,4.5374944265890187e-05
rsi,0.014997560987000585,3.899023550582645e-05
di_minus,0.023192223628572595,2.8635822340563513e-05
stoch_diff,0.04020578645626098,2.5214420254081293e-05
obv_ratio,0.048303830848545656,2.339968650997222e-05
atr_ma100,0.01771861621439963,2.1865027715444853e-05
sma100,0.02142065101868866,1.92494911225379e-05
mfi,0.009698801017221922,1.3114532583121027e-05
volume_ma20,0.024129768504934333,1.129303379094788e-05
volume_ratio_50,0.023986900780951687,9.132210416054921e-06
volume_ma50,0.02370860060574115,8.743048215184894e-06
donchian_width,0.013459745566597946,7.602569925235822e-06
volume_change_3,0.00901150787158789,6.858620156464224e-06
di_plus,0.007955944943676883,5.689889433826992e-06
bb_width,0.006818990133653388,3.1177768335392463e-06
